ID,Field Name,Display Name,Business Description,Module,Required or Optional,DB table,Provided by,Section,Depends on
20,business_contact,Business Contact,Business contact,Extension Info,Optional,tbl_use_case_ext,Business,,
21,message_trigger_conditions,Message Trigger Conditions,Message trigger conditions,Extension Info,Optional,tbl_use_case_ext,Business,Basic Information,
22,message_journey,Message Journey,Message journey,Extension Info,Optional,tbl_use_case_ext,Business,,
23,customer_journey,Customer Journey,Customer journey,Extension Info,Optional,tbl_use_case_ext,Business,,
24,business_journey,Business Journey,Business journey,Extension Info,Optional,tbl_use_case_ext,Business,,
25,remarks,Remarks,Key information,Extension Info,Optional,tbl_use_case_ext,Business / IT (if any),,
26,regulatory_requirement,Regulatory Requirement,"Regulatory requirement details like MECP B9 + B11, TM-E-1 FAQ 4.1 Q11",Extension Info,Optional,tbl_use_case_ext,Business,Message Classification,
27,cost_owner,Cost Owner,Cost owner,Extension Info,Required by UI,tbl_use_case_ext,Business,,
28,channel,Delivery Channel,Selected delivery channel,Delivery Channel,Required,tbl_use_case_channel_rule,Business,Technical Requirement,
29,priority,Priority,Channel priority / mandatory routing,Delivery Channel,Required when channel selected,tbl_use_case_channel_rule,Business,Technical Requirement,
30,App Name,app_name,the App name for Push Notification,,Conditional,,business,Technical Requirement,PUSH Channel
31,Send_to_China_flag,Send_to_China,Requires to send to China Mobile Number or NOT,Delivery Channel,Required for SMS,,Business,Technical Requirement,
32,traffic_percentage,Traffic Percentage,"Traffic split percentage, normally 
- high-risk real-time message: HTCL-100%, CSL-0% (resilience)
- TC: one-time-password: HTCL-70%, CSL-30% (resilence)
- real-time / batch message: HTCL-100%",Delivery Channel,Required for SMS/EMAIL multi-path; PUSH DAASC path can show it,tbl_use_case_channel_rule,Business / MDC IT,Technical Requirement,"PUSH,SMS,EMAIL"
33,sender,Sender,Sender ID/address/name depending on channel,Delivery Channel,Conditional,tbl_use_case_channel_rule,Business,Technical Requirement,"SMS
- sender id number

EMAIL
- sender domain, only the bold place can self-identify
hangseng@mail.test.hangseng.com"
34,sender_name,Sender Name,Email sender name,Delivery Channel,Conditional,tbl_use_case_channel_rule,Business,Technical Requirement,"EMAIL router contains PFP
can self-identify but most of HASE cases are using 恒生銀行Hang Seng Bank"
35,cost_center_id,Cost Center Id,SMS cost center id,Delivery Channel,Conditional,tbl_use_case_channel_rule,Business,Technical Requirement,"SMS, e.g. 25267613"
36,encrypt_type,Encrypt Type,"Email encryption type
- TLS is for public or internal
- Encrypt is for restrited or highly restrited",Delivery Channel,Conditional,tbl_use_case_channel_rule,Business,Technical Requirement,EMAIL PFP path
37,"push_optin_flag

",Master,Opt-in master flag,Opt-In Flag,Optional / generated,tbl_use_case,Business,Technical Requirement,PUSH Channel if select then must open
38,"marketing_optin_flag
marketing_push_optin_flag",Marketing,Push marketing opt-in flag,Opt-In Flag,Optional / generated,tbl_use_case,Business,Technical Requirement,PUSH appName
39,high_risk_push_optin_flag,High Risk,Push high risk opt-in flag,Opt-In Flag,Optional / generated,tbl_use_case,Business,Technical Requirement,PUSH DAASC
40,bounce_back,Callback,"Bounce back callback flag, mobile will call MDC API to let MDC know when it received the PN, and MDC can bounce back to trigger next channel if system can not get the API call back after a pre-defined period, like 15mins",Bounce Back,Required by section,tbl_use_case,Business,Technical Requirement,PUSH Channel才要
41,letter_bounce_back_success_flag,Letter Bounce Back,"Letter bounce back success flag, it's for the INHK eStatement/eAdvice case, which trigger e-Notification when the eStatement/eAdvice ready in website",Bounce Back,Optional,tbl_use_case,Business,Technical Requirement,
42,push_bounce_back_period,Push Bounce Back Period,"Push bounce back period in minutes, will trigger bounce back to next channel if no any call-back from mobile for the PN after this pre-set period",Bounce Back,Optional,tbl_use_case,Business,Technical Requirement,bounce_back
43,sms_bounce_back_period,SMS Bounce Back Period,"SMS bounce back period in minutes, will trigger bounce back to next channel if haven't gotten the successful SENT status for SMS after this pre-set period",Bounce Back,Optional,tbl_use_case,Business,Technical Requirement,unknown_bounce_back_status
44,email_bounce_back_period,Email Bounce Back Period,"Email bounce back period in minutes, will trigger bounce back to next channel if haven't gotten the successful SENT status for EMAIL after this pre-set period",Bounce Back,Optional,tbl_use_case,Business,Technical Requirement ,unknown_bounce_back_status
45,letter_bounce_back_period,Letter Bounce Back Period,"Letter bounce back period in minutes, , will trigger bounce back to next channel if haven't gotten the successful FAILED status for LETTER after this pre-set period",Bounce Back,Optional,tbl_use_case,Business,Technical Requirement,unknown_bounce_back_status
46,bounce_back_next_channel,Bounce Back Next Channel,Whether route to next channel after bounce back(got the status = failed for the related channel delivery),Bounce Back,Optional,tbl_use_case,Business,Technical Requirement,controls unknownBounceBackStatus area
47,unknown_bounce_back_status,Unknown Bounce Back Status,"When opened this button, MDC will check the channel bounce back period set above and bounce back to trigger next channel if we haven't gotten the successful 'SENT' status",Bounce Back,Optional,tbl_use_case,Business,Technical Requirement,
48,auto_bounce_back_flag,Auto Update Invalid Flag to CUS,Auto update mobile number / email invalid flag to CUS when getting the failed status(some failed reason) for SMS / Email delivery,Bounce Back,Optional,tbl_use_case,Business,Technical Requirement,controls customer online check area
